ID	P.Value	logFC	Gene.symbol	Gene.title
1434881_s_at	4.47e-07	1.66	Mir5130///Kctd12	microRNA 5130///potassium channel tetramerisation domain containing 12
1457117_at	4.47e-07	9.39e-01	Nfe2l2	nuclear factor, erythroid derived 2, like 2
1423040_at	4.51e-07	8.58e-01	Bzw1	basic leucine zipper and W2 domains 1
1444181_at	4.51e-07	1.02	Gimap5	GTPase, IMAP family member 5
1449175_at	4.54e-07	4.28	Gpr65	G-protein coupled receptor 65
1448665_at	4.54e-07	9.04e-01	Dmd	dystrophin, muscular dystrophy
1423258_at	4.61e-07	3.19	Syt9	synaptotagmin IX
1423547_at	4.69e-07	1.64	Lyz2	lysozyme 2
1460353_at	4.81e-07	9.17e-01	Ndc1	NDC1 transmembrane nucleoporin
1460321_at	4.90e-07	-2.09	Cntn4	contactin 4
1435135_at	5.01e-07	-8.74e-01	Nceh1	neutral cholesterol ester hydrolase 1
1422138_at	5.04e-07	-1.51	Plau	plasminogen activator, urokinase
1452714_at	5.10e-07	-1.20	Tanc1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1
1427329_a_at	5.18e-07	1.92	Ighm	immunoglobulin heavy constant mu
1428890_at	5.21e-07	-5.64e-01	Fem1c	fem-1 homolog c (C.elegans)
1449802_x_at	5.23e-07	1.52	Rpusd2	RNA pseudouridylate synthase domain containing 2
1416050_a_at	5.26e-07	-1.43	Scarb1	scavenger receptor class B, member 1
1437252_at	5.27e-07	-7.43e-01	Gatsl2	GATS protein-like 2
1431412_at	5.29e-07	-1.18	2810455B08Rik	RIKEN cDNA 2810455B08 gene
1439170_at	5.30e-07	-9.08e-01		
1451634_at	5.30e-07	3.26	Airn	antisense Igf2r RNA
1440463_at	5.34e-07	7.42e-01	5430414B19Rik	RIKEN cDNA 5430414B19 gene
1437916_at	5.35e-07	7.97e-01		
1422054_a_at	5.35e-07	1.33	Skil	SKI-like
1418072_at	5.35e-07	-1.02	Hist1h2bg///Hist1h2be///Hist1h2bc	histone cluster 1, H2bg///histone cluster 1, H2be///histone cluster 1, H2bc
1438645_x_at	5.39e-07	-1.70	Bace2	beta-site APP-cleaving enzyme 2
1458968_at	5.43e-07	1.43	C80283	expressed sequence C80283
1426851_a_at	5.51e-07	2.44	Nov	nephroblastoma overexpressed gene
1450138_a_at	5.57e-07	-6.84e-01	Serpinb6a	serine (or cysteine) peptidase inhibitor, clade B, member 6a
1426442_at	5.57e-07	1.68	Gpm6a	glycoprotein m6a
1457996_at	5.68e-07	1.32		
1435658_at	5.68e-07	-1.04	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1
1448484_at	5.75e-07	1.03	Amd1	S-adenosylmethionine decarboxylase 1
1424568_at	5.77e-07	-1.05	Tspan2	tetraspanin 2
1429058_at	5.78e-07	8.16e-01	Tmem107	transmembrane protein 107
1441030_at	5.80e-07	-1.81	Rai14	retinoic acid induced 14
1434703_at	5.83e-07	-1.08	Extl3	exostoses (multiple)-like 3
1417391_a_at	6.05e-07	-8.85e-01	Il16	interleukin 16
1416125_at	6.06e-07	1.84	Fkbp5	FK506 binding protein 5
1416527_at	6.07e-07	-5.35e-01	Rab32	RAB32, member RAS oncogene family
1455730_at	6.12e-07	1.30	Dlgap5	discs, large (Drosophila) homolog-associated protein 5
1455834_x_at	6.14e-07	8.89e-01	Tacc3	transforming, acidic coiled-coil containing protein 3
1444615_x_at	6.17e-07	1.66	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
1421594_a_at	6.22e-07	-1.17	Sytl2	synaptotagmin-like 2
1446553_at	6.27e-07	1.76		
1448110_at	6.27e-07	2.05	Sema4a	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A
1452115_a_at	6.29e-07	9.36e-01	Plk4	polo-like kinase 4
1437234_x_at	6.30e-07	-6.76e-01	Prmt2	protein arginine N-methyltransferase 2
1424312_at	6.32e-07	1.18	Adipor1	adiponectin receptor 1
1422885_at	6.34e-07	9.19e-01	Snrpd3	small nuclear ribonucleoprotein D3
1421946_at	6.37e-07	1.31	Crp	C-reactive protein, pentraxin-related
1428289_at	6.48e-07	1.09	Klf9	Kruppel-like factor 9
1421947_at	6.51e-07	-6.31e-01	Gng12	guanine nucleotide binding protein (G protein), gamma 12
1450920_at	6.51e-07	1.88	Ccnb2	cyclin B2
1430196_at	6.52e-07	-8.53e-01	8430408J09Rik	RIKEN cDNA 8430408J09 gene
1416214_at	6.56e-07	6.59e-01	Mcm4	minichromosome maintenance complex component 4
1421369_a_at	6.66e-07	-6.42e-01	Mab21l1	mab-21-like 1 (C. elegans)
1426663_s_at	6.86e-07	-5.65e-01	Slc45a3	solute carrier family 45, member 3
1416893_at	6.89e-07	9.03e-01	Fam107b	family with sequence similarity 107, member B
1438911_at	7.25e-07	1.13	Sept7	septin 7
1438915_at	7.29e-07	8.94e-01	Firre	functional intergenic repeating RNA element
1426597_s_at	7.40e-07	-1.24	Iffo2	intermediate filament family orphan 2
1456893_at	7.48e-07	-7.99e-01		
1425850_a_at	7.50e-07	-9.79e-01	Nek6	NIMA (never in mitosis gene a)-related expressed kinase 6
1449226_at	7.51e-07	1.53	Hic1	hypermethylated in cancer 1
1456209_x_at	7.56e-07	8.21e-01		
1419534_at	7.57e-07	-2.68	Olr1	oxidized low density lipoprotein (lectin-like) receptor 1
1419122_at	7.58e-07	1.07	Mettl1	methyltransferase like 1
1437313_x_at	7.59e-07	9.28e-01	Hmgb2	high mobility group box 2
1435885_s_at	7.64e-07	1.72	Itsn1	intersectin 1 (SH3 domain protein 1A)
1435009_at	7.84e-07	-7.48e-01	Slc9a6	solute carrier family 9 (sodium/hydrogen exchanger), member 6
1424278_a_at	7.92e-07	2.48	Birc5	baculoviral IAP repeat-containing 5
1446096_at	7.94e-07	6.41e-01	2310001H17Rik	RIKEN cDNA 2310001H17 gene
1429281_at	7.98e-07	-1.33	2610008E11Rik	RIKEN cDNA 2610008E11 gene
1460700_at	8.00e-07	5.62e-01	Stat3	signal transducer and activator of transcription 3
1441284_at	8.05e-07	1.86		
1429481_at	8.10e-07	1.09	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2
1424022_at	8.11e-07	1.68	Osgin1	oxidative stress induced growth inhibitor 1
1429207_at	8.24e-07	-1.32	Mir5136///5730408K05Rik	microRNA 5136///RIKEN cDNA 5730408K05 gene
1443630_at	8.26e-07	-9.70e-01		
1429418_at	8.29e-07	-1.44	Cdc14b	CDC14 cell division cycle 14B
1423620_at	8.33e-07	5.19e-01	Cenpq	centromere protein Q
1424268_at	8.44e-07	9.96e-01	Smox	spermine oxidase
1429324_at	8.45e-07	-1.04	Shcbp1l	Shc SH2-domain binding protein 1-like
1423946_at	8.51e-07	-7.57e-01	Pdlim2	PDZ and LIM domain 2
1448127_at	8.55e-07	9.13e-01	Rrm1	ribonucleotide reductase M1
1427464_s_at	8.63e-07	7.89e-01	Hspa5	heat shock protein 5
1439394_x_at	8.68e-07	3.12	Cdc20	cell division cycle 20
1437166_at	8.71e-07	5.45e-01	Tinf2	Terf1 (TRF1)-interacting nuclear factor 2
1452338_s_at	8.73e-07	1.55	Itsn1	intersectin 1 (SH3 domain protein 1A)
1447585_s_at	8.89e-07	-6.78e-01	Mrps6	mitochondrial ribosomal protein S6
1439485_at	8.92e-07	-1.40	Zfp608	zinc finger protein 608
1426817_at	8.96e-07	1.65	Mki67	antigen identified by monoclonal antibody Ki 67
1439040_at	8.98e-07	2.13	Cenpe	centromere protein E
1445518_at	9.04e-07	-9.49e-01		
1442058_s_at	9.07e-07	1.30	Psmc3ip	proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein
1437181_at	9.14e-07	1.79	Peli2	pellino 2
1452242_at	9.28e-07	2.22	Cep55	centrosomal protein 55
1442916_at	9.32e-07	-8.91e-01		
1429520_a_at	9.41e-07	-5.48e-01	Acer3	alkaline ceramidase 3
1452404_at	9.48e-07	2.79	Phactr2	phosphatase and actin regulator 2
1434767_at	9.57e-07	1.46	Mis18bp1	MIS18 binding protein 1
1418804_at	9.66e-07	3.03	Sucnr1	succinate receptor 1
1428647_at	9.68e-07	-7.71e-01	Pbx1	pre B cell leukemia homeobox 1
1438027_at	9.68e-07	-1.28		
1440721_at	9.70e-07	-1.32	5930433N17Rik	RIKEN cDNA 5930433N17 gene
1452220_at	9.73e-07	1.62	Dock1	dedicator of cytokinesis 1
1425575_at	9.79e-07	-2.65	Epha3	Eph receptor A3
1452291_at	9.80e-07	2.69	Arap2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
1421456_at	9.92e-07	-8.62e-01	P2ry1	purinergic receptor P2Y, G-protein coupled 1
1449903_at	1.01e-06	1.71	Crtam	cytotoxic and regulatory T cell molecule
1435981_at	1.02e-06	3.18	Nav2	neuron navigator 2
1424594_at	1.02e-06	-1.48	Samd4	sterile alpha motif domain containing 4
1421889_a_at	1.02e-06	7.98e-01	Aplp2	amyloid beta (A4) precursor-like protein 2
1427541_x_at	1.03e-06	1.60	Hmmr	hyaluronan mediated motility receptor (RHAMM)
1424050_s_at	1.04e-06	-1.35	Fgfr1	fibroblast growth factor receptor 1
1439470_at	1.05e-06	1.22		
1459205_at	1.05e-06	-2.19		
1437724_x_at	1.06e-06	-1.05	Pitpnm1	phosphatidylinositol transfer protein, membrane-associated 1
1417965_at	1.06e-06	-9.21e-01	Plekha1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
1428823_at	1.06e-06	6.58e-01	Hddc2	HD domain containing 2
1449008_at	1.07e-06	6.53e-01	Tulp3	tubby-like protein 3
1428113_at	1.08e-06	-1.07	Tmtc4	transmembrane and tetratricopeptide repeat containing 4
1437570_at	1.09e-06	8.79e-01	AI503301///Luc7l3	expressed sequence AI503301///LUC7-like 3 (S. cerevisiae)
1444188_at	1.09e-06	-8.02e-01		
1450513_at	1.10e-06	-6.25e-01	Cd33	CD33 antigen
1436309_at	1.11e-06	2.38	Neto2	neuropilin (NRP) and tolloid (TLL)-like 2
1416698_a_at	1.11e-06	1.22	Cks1b	CDC28 protein kinase 1b
1428795_at	1.11e-06	-1.12	Slc18b1	solute carrier family 18, subfamily B, member 1
1432602_at	1.11e-06	8.73e-01	Kmt2e	lysine (K)-specific methyltransferase 2E
1439181_at	1.14e-06	-1.51	Zfp658	zinc finger protein 658
1427161_at	1.14e-06	2.58	Cenpf	centromere protein F
1420688_a_at	1.15e-06	-2.02	Sgce	sarcoglycan, epsilon
1455869_at	1.16e-06	2.94		
1457063_at	1.16e-06	9.02e-01		
1451799_at	1.16e-06	-1.20	Ccdc25	coiled-coil domain containing 25
1416602_a_at	1.16e-06	-6.98e-01	Rad52	RAD52 homolog, DNA repair protein
1454694_a_at	1.17e-06	1.78	Top2a	topoisomerase (DNA) II alpha
1452314_at	1.18e-06	1.96	Kif11	kinesin family member 11
1433982_at	1.19e-06	-8.70e-01	Usp28	ubiquitin specific peptidase 28
1422711_a_at	1.21e-06	-1.38	Pnck	pregnancy upregulated non-ubiquitously expressed CaM kinase
1457214_at	1.22e-06	-1.39		
1444089_at	1.23e-06	1.37	Sptbn1	spectrin beta, non-erythrocytic 1
1455487_at	1.24e-06	-6.17e-01	Mfsd11	major facilitator superfamily domain containing 11
1434601_at	1.24e-06	1.47	Amigo2	adhesion molecule with Ig like domain 2
1437394_at	1.24e-06	-1.12	Agap1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
1425906_a_at	1.24e-06	-2.21	Sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E
1438195_at	1.25e-06	-5.39e-01	Gpd1l	glycerol-3-phosphate dehydrogenase 1-like
1423313_at	1.25e-06	7.87e-01	Pde7a	phosphodiesterase 7A
1448046_at	1.25e-06	2.33		
1418901_at	1.25e-06	1.87	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta
1445895_at	1.27e-06	8.74e-01		
1420630_at	1.27e-06	2.52	Fam234b	family with sequence similarity 234, member B
1440551_at	1.27e-06	-7.17e-01		
1437100_x_at	1.29e-06	1.10	Pim3	proviral integration site 3
1435597_at	1.30e-06	7.97e-01	Atad5	ATPase family, AAA domain containing 5
1422460_at	1.31e-06	7.74e-01	Mad2l1	MAD2 mitotic arrest deficient-like 1
1428939_s_at	1.31e-06	-2.64	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1455257_at	1.31e-06	1.70	Itgb3	integrin beta 3
1434795_at	1.32e-06	-8.98e-01	Disp1	dispatched homolog 1 (Drosophila)
1437378_x_at	1.33e-06	-1.35	Scarb1	scavenger receptor class B, member 1
1436182_at	1.37e-06	-7.98e-01	Satb1	special AT-rich sequence binding protein 1
1457802_at	1.38e-06	-9.46e-01	B930012P20Rik	RIKEN cDNA B930012P20 gene
1421375_a_at	1.38e-06	-1.03	S100a6	S100 calcium binding protein A6 (calcyclin)
1426235_a_at	1.38e-06	8.44e-01	Glul	glutamate-ammonia ligase (glutamine synthetase)
1435336_at	1.39e-06	1.29	Celsr2	cadherin, EGF LAG seven-pass G-type receptor 2
1457949_at	1.39e-06	9.94e-01	Nt5c2	5'-nucleotidase, cytosolic II
1449087_at	1.41e-06	-7.68e-01	Rnf141	ring finger protein 141
1424567_at	1.41e-06	-1.55	Tspan2	tetraspanin 2
1429403_x_at	1.41e-06	1.15	Glt8d2	glycosyltransferase 8 domain containing 2
1426641_at	1.41e-06	-1.35	Trib2	tribbles pseudokinase 2
1448830_at	1.42e-06	2.14	Dusp1	dual specificity phosphatase 1
1425271_at	1.42e-06	1.25	Psmc3ip	proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein
1452814_at	1.43e-06	-5.82e-01	Cpne3	copine III
1454630_at	1.45e-06	1.03	Samd14	sterile alpha motif domain containing 14
1444152_at	1.45e-06	-7.87e-01	Celf2	CUGBP, Elav-like family member 2
1448899_s_at	1.47e-06	2.23	Rad51ap1	RAD51 associated protein 1
1452703_at	1.50e-06	1.67	Ahcyl2	S-adenosylhomocysteine hydrolase-like 2
1451802_at	1.51e-06	-9.04e-01	Tpsb2	tryptase beta 2
1435484_at	1.56e-06	-5.32e-01	Slc5a3	solute carrier family 5 (inositol transporters), member 3
1433842_at	1.56e-06	-6.82e-01	Lrrfip1	leucine rich repeat (in FLII) interacting protein 1
1438407_at	1.56e-06	-6.81e-01	Dsel	dermatan sulfate epimerase-like
1418146_a_at	1.57e-06	6.03e-01	Rbl2	retinoblastoma-like 2
1454984_at	1.58e-06	2.87	Lifr	leukemia inhibitory factor receptor
1457608_at	1.60e-06	8.38e-01		
1453771_at	1.61e-06	1.63	Gulp1	GULP, engulfment adaptor PTB domain containing 1
1458582_at	1.61e-06	6.75e-01	Lin54	lin-54 homolog (C. elegans)
1451355_at	1.61e-06	2.37	Acer2	alkaline ceramidase 2
1436865_at	1.62e-06	-8.36e-01	Slc26a11	solute carrier family 26, member 11
1418505_at	1.62e-06	5.79e-01	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4
1429171_a_at	1.63e-06	1.91	Ncapg	non-SMC condensin I complex, subunit G
1459685_at	1.63e-06	-2.33	C77683	expressed sequence C77683
1416009_at	1.63e-06	1.03	Tspan3	tetraspanin 3
1435565_at	1.64e-06	5.34e-01	Vps29	VPS29 retromer complex component
1460602_at	1.64e-06	3.85	Dlc1	deleted in liver cancer 1
1436316_at	1.64e-06	7.12e-01	Klf13	Kruppel-like factor 13
1446509_at	1.65e-06	1.32	Smox	spermine oxidase
1447616_at	1.66e-06	-1.61		
1440310_at	1.68e-06	1.64	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
1449602_at	1.69e-06	-1.01		
1424111_at	1.71e-06	3.34	Igf2r	insulin-like growth factor 2 receptor
1434156_at	1.72e-06	-1.37	Rab11fip4	RAB11 family interacting protein 4 (class II)
1452803_at	1.72e-06	1.27	Glipr2	GLI pathogenesis-related 2
1438934_x_at	1.72e-06	2.30	Sema4a	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A
1453304_s_at	1.72e-06	4.99e-01	Ly6e	lymphocyte antigen 6 complex, locus E
1447046_at	1.73e-06	2.67		
1425526_a_at	1.74e-06	2.42	Prrx1	paired related homeobox 1
1424321_at	1.74e-06	8.24e-01	Rfc4	replication factor C (activator 1) 4
1453777_a_at	1.75e-06	-9.23e-01	Ndst3	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3
1416258_at	1.77e-06	2.30	Tk1	thymidine kinase 1
1415904_at	1.78e-06	2.14	Lpl	lipoprotein lipase
1451496_at	1.79e-06	1.19	Mtss1	metastasis suppressor 1
1416433_at	1.82e-06	5.77e-01	Rpa2	replication protein A2
1439774_at	1.82e-06	2.40	Prrx1	paired related homeobox 1
1451246_s_at	1.83e-06	1.46	Aurkb	aurora kinase B
1423989_at	1.83e-06	-8.15e-01	Tecpr1	tectonin beta-propeller repeat containing 1
1446670_at	1.84e-06	-8.66e-01		
1435451_at	1.85e-06	8.65e-01	Helq	helicase, POLQ-like
1441015_at	1.86e-06	2.15		
1419838_s_at	1.89e-06	1.20	Plk4	polo-like kinase 4
1436204_at	1.92e-06	1.50	1110059G02Rik///Sntb1	RIKEN cDNA 1110059G02 gene///syntrophin, basic 1
1435127_a_at	1.92e-06	-6.10e-01	Osgepl1	O-sialoglycoprotein endopeptidase-like 1
1449700_at	1.93e-06	-5.93e-01	Igbp1	immunoglobulin (CD79A) binding protein 1
1454903_at	1.93e-06	1.13	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)
1448914_a_at	1.94e-06	-1.69	Csf1	colony stimulating factor 1 (macrophage)
1416076_at	1.94e-06	1.98	Gm5593///Ccnb1	predicted gene 5593///cyclin B1
1418238_at	1.97e-06	9.64e-01	Ivd	isovaleryl coenzyme A dehydrogenase
1419144_at	1.97e-06	-1.51	Cd163	CD163 antigen
1455505_at	1.99e-06	6.21e-01	Gatad2a	GATA zinc finger domain containing 2A
1423041_a_at	2.00e-06	6.16e-01	Bzw1	basic leucine zipper and W2 domains 1
1460469_at	2.00e-06	-2.95	Tnfrsf9	tumor necrosis factor receptor superfamily, member 9
1453596_at	2.01e-06	1.48	Id2	inhibitor of DNA binding 2
1455695_at	2.02e-06	1.85	St8sia1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
1424292_at	2.03e-06	1.40	Depdc1a	DEP domain containing 1a
1456446_at	2.03e-06	2.77	4930523C07Rik	RIKEN cDNA 4930523C07 gene
1416474_at	2.04e-06	-8.00e-01	Igdcc4	immunoglobulin superfamily, DCC subclass, member 4
1417471_s_at	2.04e-06	-1.27	D1Ertd622e	DNA segment, Chr 1, ERATO Doi 622, expressed
1436551_at	2.05e-06	-1.16	Fgfr1	fibroblast growth factor receptor 1
1416439_at	2.08e-06	7.74e-01	Dctpp1	dCTP pyrophosphatase 1
1452665_at	2.09e-06	9.85e-01	Ttc27	tetratricopeptide repeat domain 27
1449001_at	2.09e-06	9.78e-01	Ivd	isovaleryl coenzyme A dehydrogenase
1417332_at	2.09e-06	1.32	Rfx2	regulatory factor X, 2 (influences HLA class II expression)
1448316_at	2.10e-06	-1.01	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3
1455590_at	2.11e-06	-6.50e-01	Nqo2	NAD(P)H dehydrogenase, quinone 2
1429549_at	2.12e-06	2.18	Col27a1	collagen, type XXVII, alpha 1
1439150_x_at	2.13e-06	9.84e-01	Grtp1	GH regulated TBC protein 1
1433897_at	2.14e-06	-1.24	Tmem263	transmembrane protein 263
1458371_at	2.15e-06	9.54e-01	E130006N16Rik	RIKEN cDNA E130006N16 gene
1450845_a_at	2.15e-06	6.33e-01	Bzw1	basic leucine zipper and W2 domains 1
1444566_at	2.16e-06	2.63		
1435306_a_at	2.16e-06	1.72	Kif11	kinesin family member 11
1418782_at	2.17e-06	4.59	Rxrg	retinoid X receptor gamma
1455037_at	2.18e-06	-2.07	Plxna2	plexin A2
1416084_at	2.19e-06	6.90e-01	Zfand5	zinc finger, AN1-type domain 5
1417822_at	2.20e-06	1.66	D17H6S56E-5	DNA segment, Chr 17, human D6S56E 5
1439568_at	2.25e-06	2.52	Greb1	gene regulated by estrogen in breast cancer protein
1435511_at	2.28e-06	1.68	Syn2	synapsin II
1455618_x_at	2.28e-06	3.39	Tspan33	tetraspanin 33
1422895_at	2.29e-06	-9.65e-01	Vamp4	vesicle-associated membrane protein 4
1438021_at	2.30e-06	-9.32e-01	Rbm47	RNA binding motif protein 47
1449708_s_at	2.30e-06	1.04	Chek1	checkpoint kinase 1
1444420_at	2.31e-06	-1.27	E230032D23Rik	RIKEN cDNA E230032D23 gene
1459133_at	2.35e-06	1.31	Edem3	ER degradation enhancer, mannosidase alpha-like 3
1432607_at	2.35e-06	-2.16	2610012C04Rik	RIKEN cDNA 2610012C04 gene
1437611_x_at	2.36e-06	2.05	Kif2c	kinesin family member 2C
1424229_at	2.36e-06	8.37e-01	Dyrk3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3
1436789_at	2.37e-06	1.79	Ccnjl	cyclin J-like
1416309_at	2.38e-06	1.90	Nusap1	nucleolar and spindle associated protein 1
1442263_at	2.39e-06	1.21	Rgs13	regulator of G-protein signaling 13
1425760_a_at	2.41e-06	-1.63	Pitpnm1	phosphatidylinositol transfer protein, membrane-associated 1
1416129_at	2.43e-06	1.17	Errfi1	ERBB receptor feedback inhibitor 1
1449983_a_at	2.46e-06	-8.22e-01	Nqo2	NAD(P)H dehydrogenase, quinone 2
1456426_at	2.47e-06	-1.68	Clec2i	C-type lectin domain family 2, member i
1428854_at	2.47e-06	-5.16e-01	Tmed8	transmembrane emp24 domain containing 8
1441799_at	2.48e-06	1.51	6030422H21Rik	RIKEN cDNA 6030422H21 gene
1419998_at	2.48e-06	1.17		
1436322_a_at	2.48e-06	7.87e-01	2810001A02Rik	RIKEN cDNA 2810001A02 gene
1441946_at	2.53e-06	1.53	Itih5	inter-alpha (globulin) inhibitor H5
1421963_a_at	2.55e-06	1.60	Cdc25b	cell division cycle 25B
1426664_x_at	2.56e-06	-5.47e-01	Slc45a3	solute carrier family 45, member 3
1423452_at	2.57e-06	6.77e-01	Stk17b	serine/threonine kinase 17b (apoptosis-inducing)
1417884_at	2.61e-06	8.88e-01	Slc16a6	solute carrier family 16 (monocarboxylic acid transporters), member 6
1434313_at	2.62e-06	-7.55e-01	Ccdc126	coiled-coil domain containing 126
1424470_a_at	2.64e-06	-1.74	Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3
1448732_at	2.64e-06	-5.44e-01	Ctsb	cathepsin B
1435293_at	2.67e-06	1.12	Adam22	a disintegrin and metallopeptidase domain 22
1459238_at	2.68e-06	-1.15		
1435758_at	2.69e-06	-2.64	B4galt6	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6
1460437_at	2.70e-06	-8.40e-01	Cyth4	cytohesin 4
1456665_at	2.71e-06	1.95	Eya4	EYA transcriptional coactivator and phosphatase 4
1418929_at	2.71e-06	5.72e-01	Ift57	intraflagellar transport 57
1455337_at	2.71e-06	-1.44	Fgd4	FYVE, RhoGEF and PH domain containing 4
1454748_at	2.73e-06	-9.77e-01	Naprt	nicotinate phosphoribosyltransferase
1427452_at	2.74e-06	1.06		
1433695_at	2.75e-06	-7.79e-01	Cnrip1	cannabinoid receptor interacting protein 1
1448272_at	2.79e-06	4.11	Btg2	B cell translocation gene 2, anti-proliferative
1438761_a_at	2.80e-06	8.50e-01	Odc1	ornithine decarboxylase, structural 1
1418788_at	2.81e-06	9.35e-01	Tek	endothelial-specific receptor tyrosine kinase
1435089_at	2.83e-06	7.64e-01	2010111I01Rik	RIKEN cDNA 2010111I01 gene
1438075_at	2.85e-06	5.70e-01	Fem1c	fem-1 homolog c (C.elegans)
1433070_at	2.86e-06	-1.30	5830433M15Rik	RIKEN cDNA 5830433M15 gene
1434423_at	2.88e-06	2.41	Gulp1	GULP, engulfment adaptor PTB domain containing 1
1426612_at	2.88e-06	4.89e-01	Tipin	timeless interacting protein
1421598_at	2.90e-06	-1.08		
1441075_at	2.90e-06	-7.08e-01	Nostrin	nitric oxide synthase trafficker
1439087_a_at	2.91e-06	6.30e-01	Pik3ip1	phosphoinositide-3-kinase interacting protein 1
1457108_at	2.93e-06	2.97		
1448546_at	2.94e-06	-9.71e-01	Rassf3	Ras association (RalGDS/AF-6) domain family member 3
1416835_s_at	2.96e-06	1.37	Amd1	S-adenosylmethionine decarboxylase 1
1428635_at	3.01e-06	-7.13e-01	Comtd1	catechol-O-methyltransferase domain containing 1
1448845_at	3.02e-06	-1.61	Rpp25	ribonuclease P/MRP 25 subunit
1442322_at	3.02e-06	-1.78		
1420692_at	3.02e-06	1.71	Il2ra	interleukin 2 receptor, alpha chain
1447962_at	3.05e-06	-1.16		
1417297_at	3.05e-06	-1.48	Itpr3	inositol 1,4,5-triphosphate receptor 3
1426785_s_at	3.05e-06	1.35	Mgll	monoglyceride lipase
1427191_at	3.05e-06	-1.16	Npr2	natriuretic peptide receptor 2
1430656_a_at	3.05e-06	-6.26e-01	Asnsd1	asparagine synthetase domain containing 1
1435317_x_at	3.06e-06	6.61e-01	Psma6	proteasome (prosome, macropain) subunit, alpha type 6
1441964_at	3.08e-06	1.24	Qk	quaking
1422570_at	3.08e-06	8.89e-01	Yy1	YY1 transcription factor
1416085_s_at	3.08e-06	5.34e-01	Zfand5	zinc finger, AN1-type domain 5
1422659_at	3.08e-06	-2.42	Camk2d	calcium/calmodulin-dependent protein kinase II, delta
1435448_at	3.10e-06	-7.45e-01	Bcl2l11	BCL2-like 11 (apoptosis facilitator)
